一亅	一亅 丁
一乙	一乙 丂
一乚	一乚 七
丿乚	丿乚 七
丨一	丨一 丄
一丨	一丨 丅
一勹	一勹 万
一刀	一刀 万
一乂	一乂 丈
一二	一二 三
一一一	一一一 三
一丨一	一丨一 上
丶丨一	丶丨一 上
一卜	一卜 下
一丨丶	一丨丶 下
一丿丨	一丿丨 丌
一丿丨丶	一丿丨丶 不
下勹	下勹 丐
正丿	正丿 丐
㇆一丨一	㇆一丨一 丑
刃一	刃一 丒
月一	月一 且
不一	不一 丕
廿丨一	廿丨一 世
廿丨	廿丨 丗
十凵	十凵 丗
厂工	厂工 丘
厂丅一	厂丅一 丘
一人冂	一人冂 丙
氶一	氶一 丞
三厶	三厶 丟
北一	北一 丠
一山冂	一山冂 両
丷亚	丷亚 並
丷一业	丷一业 並
丶丶丨	丶丶丨 丫
冫丨	冫丨 丬
口丨	口丨 中
乁二丨	乁二丨 丮
丨彡	丨彡 丯
丿二丨	丿二丨 丰
三丨	三丨 丰
口口丨	口口丨 串
中口	中口 串
串丿	串丿 丳
业丷干	业丷干 丵
丶丿	丶丿 丷
丶九	丶九 丸
冂丶一	冂丶一 丹
丶王	丶王 主
井丶	井丶 丼
乀丿	乀丿 乂
丿㇆㇆	丿㇆㇆ 乃
丿入	丿入 久
𠃊人	𠃊人 乆
丿七	丿七 乇
丿厶	丿厶 么
丿丅二	丿丅二 乍
丿丷一亅	丿丷一亅 乎
丿之	丿之 乏
丿丨丿丿丶乀	丿丨丿丿丶乀 乑
丘丿	丘丿 乒
丘丶	丘丶 乓
厂一巿	厂一巿 乕
厂二巾	厂二巾 乕
千北	千北 乖
禾艹一	禾艹一 乗
禾北	禾北 乘
禾丬匕	禾丬匕 乘
卩乚	卩乚 乜
丿乙	丿乙 九
丿一乙	丿一乙 乞
卩丨乚	卩丨乚 也
山乙	山乙 乢
山乚	山乚 乢
幺乙	幺乙 乣
幺乚	幺乚 乣
台乙	台乙 乨
台乚	台乚 乨
占乙	占乙 乩
占乚	占乚 乩
乙田	乙田 乪
加乙	加乙 乫
石乙	石乙 乭
孚乙	孚乙 乳
孚乚	孚乚 乳
折乙	折乙 乴
辛乙	辛乙 乵
辛乚	辛乚 乵
甫乙	甫乙 乶
沙乙	沙乙 乷
也母	也母 乸
十日十乚	十日十乚 乹
十日十乞	十日十乞 乾
爪糸乙	爪糸乙 乿
爫糸乚	爫糸乚 乿
龟日	龟日 亀
龟曰	龟曰 亀
龟日	龟日 亀
刀日电	刀日电 亀
十日干乞	十日干乞 亁
爪龴冂厶又乙	爪龴冂厶又乙 亂
爫龴冂厶又乚	爫龴冂厶又乚 亂
粦乙	粦乙 亃
粦乚	粦乚 亃
壹乙	壹乙 亄
壹乚	壹乚 亄
乛亅	乛亅 了
龴乛亅	龴乛亅 予
一丷亅聿	一丷亅聿 亊
一丷亅肀	一丷亅肀 亊
一口聿	一口聿 事
一口肀	一口肀 事
一一	一一 二
一丁	一丁 亍
二亅	二亅 于
一丂	一丂 亐
二厶	二厶 云
一彑	一彑 互
一丌	一丌 亓
二丨㇆	二丨㇆ 五
二丿丨	二丿丨 井
二二	二二 亖
山二	山二 亗
万丶丶一	万丶丶一 亙
二彑丶	二彑丶 亙
此二	此二 些
二口丨丨	二口丨丨 亜
厽二	厽二 亝
二□	二□ 亞
丂口又一	丂口又一 亟
丶一	丶一 亠
丶匸	丶匸 亡
亠几	亠几 亢
丶丌	丶丌 亣
亠父	亠父 交
亠□人	亠□人 亥
亠丿亅八	亠丿亅八 亦
亠口了	亠口了 亨
亠口子	亠口子 享
亠口小	亠口小 京
亠口冖丁	亠口冖丁 亭
亠口冖儿	亠口冖儿 亮
亠口日	亠口日 亯
亠日小	亠日小 亰
亠但	亠但 亱
亠口冂乇	亠口冂乇 亳
亠口冂土九	亠口冂土九 亴
亠回旦	亠回旦 亶
亠兼丿	亠兼丿 亷
亠舋	亠舋 亹
丿乀	丿乀 人
丿丨	丿丨 亻
人一	人一 亼
丨一人	丨一人 亾
人十	人十 什
亻十	亻十 什
人二	人二 仁
亻二	亻二 仁
人力	人力 仂
亻力	亻力 仂
人丁	人丁 仃
亻丁	亻丁 仃
厂人	厂人 仄
人卜	人卜 仆
亻卜	亻卜 仆
